ક,ખ,ગ,ઘ,ઙ,ચ,છ,જ,ઝ,ઞ,ટ,ઠ,ડ,ઢ,ણ,ત,થ,દ,ધ,ન,પ,ફ,બ,ભ,મ,ય,ર,લ,વ,શ,ષ,સ,હ,ળ,ક્ષ,જ્ઞ
ka,kha,ga,gha,ṅa,ca,cha,ja,jha,ña,ṭa,ṭha,ḍa,ḍha,ṇa,ta,tha,da,dha,na,pa,pha,ba,bha,ma,ya,ra,la,va,śa,ṣa,sa,ha,ḷa,kṣa,jña
क,ख,ग,घ,ङ,च,छ,ज,झ,ञ,ट,ठ,ड,ढ,ण,त,थ,द,ध,न,प,फ,ब,भ,म,य,र,ल,व,श,ष,स,ह,ळ,क्ष,ज्ञ
